Ime,Regija,Sektor,Sistem,Prebivalstvo
Karolia,Outer Rim Territories,Unknown,Belderone system,Unknown
Kashyyyk,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Wookiees
Keitum,Mid Rim Territories,Unknown,Unknown,Unknown
Kellux,Unknown,Unknown,Kellux system,Unknown
Kenari,Mid Rim Territories,Unknown,Kenari system,Unknown
Kerev Doi,Expansion Region,Unknown,Unknown,"Bodach'i,Humans"
Kergans,Unknown,Unknown,Unknown,Zeltrons
Kerkoidia,Expansion Region,Unknown,Kerkoidia system,Kerkoidens
Kesh,Wild Space,Unknown,Unknown,Keshiri
Kessel,Outer Rim Territories,Kessel sector,Kessel system,Various
Kethmandi,Unknown,Unknown,Unknown,Unknown
Ketzali,Mid Rim Territories,Unknown,Unknown,Unknown
Khomm,Deep Core,Unknown,Khomm system,Unknown
Kidron,Unknown,Unknown,Unknown,Unknown
Kiffex,Inner Rim Territories,Unknown,Unknown,Kiffar
Kiffu,Inner Rim Territories,Unknown,Unknown,Kiffar
Kijimi,Mid Rim Territories,Bryx sector,Unknown,Unknown
Kinoss,Unknown Regions,Kinoss system,Unknown,Unknown
Kinrah,Unknown,Kinrah system,Unknown,Unknown
Kintan,Outer Rim Territories,Unknown,Unknown,Nikto
Kintoni,Outer Rim Territories,Unknown,Unknown,Unknown
Kinyen,Expansion Region,Unknown,Unknown,Gran
Kirdo III,Outer Rim Territories,Unknown,Unknown,Kitonak
Kirima,Mid Rim Territories,Unknown,Unknown,Unknown
Kiros,Expansion Region,Unknown,Kiros system,Togruta
Kirtarkin,Outer Rim Territories,Anoat sector,Unknown,Unknown
Kizan,Unknown,Unknown,Unknown,Unknown
Klatooine,Outer Rim Territories,Unknown,Unknown,Klatooinians
Klonoid,Unknown,Unknown,Unknown,Unknown
Klytus V,Wild Space,Unknown,Unknown,Unknown
Koboh,Outer Rim Territories,Unknown,Koboh system,Unknown
Kol Iben,Outer Rim Territories,Arkanis sector,Kol Iben system,Unknown
Konkiv,Unknown,Unknown,Unknown,Humans
Kooriva,Inner Rim Territories,Unknown,Unknown,Koorivar
Koorivar homeworld,Unknown,Unknown,Unknown,Koorivar
Korrilan IV,Unknown,Unknown,Unknown,Unknown
Kortatka,Unknown,Unknown,Unknown,Unknown
Koru Neimoidia,Colonies,Unknown,Unknown,Unknown
Koshaga,Unknown,Unknown,Unknown,Unknown
Kotab,Unknown,Unknown,Unknown,Kotabi
Kowak,Outer Rim Territories,Sevetta sector,Kowak system,Mole-flea
Kreeling,Mid Rim Territories,Chommell sector,Unknown,Humans
Kril'Dor,Mid Rim Territories,Unknown,Unknown,Unknown
Krownest,Outer Rim Territories,Mandalore sector,New Kleyman system,Humans
Krystar,Unknown,Unknown,Unknown,Ovissians
Ktath'atn,Outer Rim Territories,Unknown,Unknown,Humans
Kuat,Core Worlds,Kuat sector,Kuat system,Humans
Kubindi,Outer Rim Territories,Unknown,Ku'Bakai system,Kubaz
Kudo,Inner Rim Territories,Corvair sector,Kudo system,Unknown
Kullgroon,Expansion Region,Unknown,Unknown,Petrusian
Kupoh,Mid Rim Territories,Unknown,Kupoh system,Kupohans
Lafete,Unknown,Unknown,Unknown,Unknown
Lah'mu,Outer Rim Territories,Raioballo sector,Lah'mu system,Humans
Lahn,Outer Rim Territories,Unknown,Unknown,Various
Land,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Langsha-Raang,Unknown,Unknown,Unknown,Unknown
Langston,Unknown,Unknown,Unknown,Unknown
Lannik,Mid Rim Territories,Unknown,Unknown,Lanniks
Lanteeb,Unknown,Unknown,Unknown,Unknown
Lanz Carpo,Core Worlds,Unknown,Unknown,Unknown
Lasan,Outer Rim Territories,Unknown,Lasan system,Lasats
Lateron,Mid Rim Territories,Unknown,Unknown,Latero
Lechra,Unknown,Unknown,Unknown,Unknown
Ledalau,Unknown,Unknown,Unknown,Unknown
Lefrani,Outer Rim Territories,Atravis sector,Mustafar system,Unknown
Lenahra,Unknown Regions,Unknown,Unknown,Unknown
Leoxo,Unknown,Unknown,Unknown,Unknown
Lespectus,Core Worlds,Unknown,Unknown,Moldwarp
Lew'el,Unknown,Unknown,Unknown,Humans(Lew'elans)
Lexrul,Mid Rim Territories,Unknown,Unknown,Humans
Lioaoin heartworld,Unknown Regions,Unknown,Unknown,Lioaoi
Lira San,Wild Space,Unknown,Lira San system,Lasats
Li-Toran,Inner Rim Territories,Unknown,Unknown,Melittos
Livno III,Wild Space,Unknown,Unknown,Lynna
Llanic,Outer Rim Territories,Unknown,Llanic system,Unknown
Lokori,Unknown,Unknown,Unknown,Lokori
Lola Sayu,Outer Rim Territories,Belderone sector,Lola Sayu system,Unknown
Lolet,Unknown,Unknown,Lolet system,Unknown
Lonera,Inner Rim Territories,Unknown,Unknown,Lonerans
Loreth,Galactic Frontier,Unknown,Loreth system,Various
Lothal,Outer Rim Territories,Lothal sector,Lothal system,Various
Lotho Minor,Outer Rim Territories,Wazta sector,Lotho Minor system,"Anacondans,Junkers"
Lowik,Unknown,Unknown,Unknown,Unknown
Luprora,Unknown,Unknown,Unknown,"Lupr'or,R'ora"
Lutrillia,Outer Rim Territories,Greater Javin,Unknown,Lutrillians
Lysatra,Expansion Region,Unknown,Unknown,Humans
Maher,Unknown Regions,Unknown,Unknown,Unknown
Mahranee,Mid Rim Territories,Unknown,Unknown,Mahran
Malachor,Outer Rim Territories,Chorlian sector,Malachor system,Unknown
Malastare,Mid Rim Territories,Dustig sector,Malastare system,Dugs
Malathon IX,Expansion Region,Unknown,Unknown,Unknown
Maldo Kreis,Unknown,Unknown,Unknown,Unknown
Malenko,Unknown,Unknown,Unknown,Andon Host
Malian,Western Reaches,Unknown,Unknown,Unknown
Malpaz,Unknown,Unknown,Unknown,"Humans,Iktotchi,Unidentified species"
Manaan,Inner Rim Territories,Unknown,Unknown,Selkath
Mandalore,Outer Rim Territories,Mandalore sector,Mandalore system,Humans
Mannius Eight,Wild Space,Unknown,Unknown,Unknown
Manpha,Outer Rim Territories,Unknown,Unknown,Unknown
Manress,Inner Rim Territories,Unknown,Unknown,Stokhli
Mapuzo,Mid Rim Territories,Unknown,Mapuzo system,Various
Marca,Unknown,Unknown,Unknown,Unknown
Mardona III,Inner Rim Territories,Unknown,Unknown,Unknown
Mareg IX,Unknown,Unknown,Unknown,Unknown
Maridun,Outer Rim Territories,Rolion sector,Maridun system,"Amani,Lurmen"
Marleyvane,Outer Rim Territories,Unknown,Unknown,Unknown
Maryx Minor,Outer Rim Territories,Unknown,Unknown,Unknown
Massoss,Unknown Regions,Unknown,Massoss system,Unknown
Mataou,Outer Rim Territories,Anoat sector,Mataou system,Hutts
Mathas,Unknown,Unknown,Unknown,Unknown
Mearalis II,Outer Rim Territories,Unknown,Unknown,Unknown
Megalox Beta,Expansion Region,Unknown,Megalox system,Unknown
Mek'tradi,Unknown,Unknown,Unknown,Unknown
Merj,Outer Rim Territories,Unknown,Unknown,Morseerians
Merokia,Outer Rim Territories,Unknown,Unknown,Various
Metellos,Core Worlds,Unknown,Unknown,Unknown
Mexeluine,Outer Rim Territories,Anoat sector,Unknown,Unknown
Midarr,Unknown,Unknown,Unknown,Unknown
Mijos,Outer Rim Territories,Anoat sector,Unknown,Unknown
Mikkia,Expansion Region,Unknown,Unknown,Mikkians
Milvayne,Inner Rim Territories,Unknown,Unknown,Unknown
Mimban,Expansion Region,Circarpous sector,Circarpous system,"Greenie,Mimbanese"
Minfar,Inner Rim Territories,Unknown,Unknown,Zixon
Minntooine,Unknown,Unknown,Unknown,Unknown
Mirial,Outer Rim Territories,Unknown,Mirial system,Mirialans
Mirrin Prime,Outer Rim Territories,Mirrin sector,Mirrin system,Unknown
Miser,Outer Rim Territories,Anoat sector,Bespin system,Unknown
Mokivj,Outer Rim Territories,Unknown,Mokivj system,Humans
Moldour,Outer Rim Territories,Unknown,Unknown,Unknown
Molos,Unknown,Unknown,Unknown,Unknown
Mon Cala,Outer Rim Territories,Calamari sector,Mon Calamari system,"Mon Calamari,Quarren"
Mon Gazza,Mid Rim Territories,Unknown,Unknown,Unknown
Monta,Unknown,Unknown,Unknown,Unknown
Montross,Mid Rim Territories,Unknown,Montross system,Unknown
Mooga,Mid Rim Territories,Unknown,Unknown,Moogans
Moorja,Unknown,Unknown,Unknown,Humans
Moraband,Outer Rim Territories,Esstran sector,Unknown,Unknown
Moraga,Unknown,Unknown,Unknown,Moragans
Morak,Unknown,Unknown,Unknown,Unknown
Morellia,Unknown,Morellian Commonwealth,Unknown,Unknown
Morlana One,Unknown,Free Trade sector,Morlani system,Unknown
Mountain,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Mrinzebon,Unknown,Unknown,Unknown,Humans
Mulita,Wild Space,Unknown,Mulita system,Drengir
Murkhana,Outer Rim Territories,Unknown,Murkhana system,Various
Mustafar,Outer Rim Territories,Atravis sector,Mustafar system,Mustafarians
Muunilinst,Outer Rim Territories,Unknown,Unknown,Muuns
Mydasos,Unknown,Dalicron sector,Unknown,Phydolon
Mygeeto,Outer Rim Territories,Albarrio sector,Mygeeto system,Lurmen
Mykapo,Outer Rim Territories,Unknown,Mykapo system,Humans
Myomar,Expansion Region,Unknown,Unknown,Unknown
Naalol,Unknown,Unknown,Unknown,Humans
Naator,Mid Rim Territories,Unknown,Unknown,Unknown
Naboo,Mid Rim Territories,Chommell sector,Naboo system,"Elders,Gungans,Humans(Naboo)"
Nacronis,Mid Rim Territories,Unknown,Nacronis system,Unknown
Nag Ubdur,Outer Rim Territories,Unknown,Ubdur system,"Keldar,Ubdurians"
Najan-Rovi,Mid Rim Territories,Unknown,Unknown,Unknown
NaJedha,Mid Rim Territories,Terrabe sector,Jedha system,Unknown
Najiba,Unknown,Unknown,Unknown,Unknown
Najra-Va,Unknown Regions,Sector Epsilon 51-3,Dassal system,Unknown
Nakadia,Expansion Region,Unknown,Unknown,Nakadians
Nal Hutta,Outer Rim Territories,Unknown,Unknown,Various
Nam Chorios,Outer Rim Territories,Unknown,Unknown,Unknown
Nanth'ri,Mid Rim Territories,Unknown,Nanth'ri system,Unknown
Naporar,Unknown,Unknown,Unknown,Unknown
Nar Kanji,Outer Rim Territories,Unknown,Unknown,Jablogians
Naraka,Outer Rim Territories,Unknown,Unknown,Unknown
Narq,Colonies,Unknown,Unknown,Narquois
Navlaas,Inner Rim Territories,Unknown,Unknown,Unknown
Necropolis,Outer Rim Territories,Unknown,Unknown,Unknown
Neelanon,Unknown,Unknown,Unknown,Unknown
Neftali,Outer Rim Territories,Unknown,Socorro system,Unknown
Neimoidia,Colonies,Unknown,Neimoidia system,Neimoidians
Nelgenam,Unknown,Unknown,Unknown,Unknown
Nelvaan,Outer Rim Territories,Savareen sector,Unknown,Nelvaanians
Nepotis,Outer Rim Territories,Unknown,Unknown,Nephrans
Neral,Core Worlds,Corellian sector,Unknown,Unknown
Neralus,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Neskar,Unknown,Unknown,Unknown,Unknown
Netalych,Inner Rim Territories,Unknown,Netalych system,Unknown
Nettehi,Unknown Regions,Unknown,Unknown,Paataatus
Nevarro,Outer Rim Territories,Nevarro's sector,Unknown,Various
Nimban,Hutt Space,Unknown,Unknown,Nimbanel
Ningoth,Unknown,Unknown,Unknown,Unknown
Nixus,Unknown,Unknown,Unknown,Various
Nixus,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Noctu,Colonies,Unknown,Unknown,Unknown
Nooroyo,Unknown,Unknown,Unknown,Unknown
Nordis Prime,Mid Rim Territories,Tashtor sector,Unknown,Unknown
Norsid,Unknown,Unknown,Unknown,Unknown
Norulac,Unknown,Unknown,Unknown,Unknown
Nothoiin,Outer Rim Territories,Anoat sector,Unknown,Nothoiins
Noult,Unknown,Unknown,Unknown,Unknown
Numidian Prime,Mid Rim Territories,Bright Jewel sector,Numidian system,Unknown
Nyriaan,Unknown,Unknown,Unknown,Unknown
N'Zoth,Core Worlds,Koornacht Cluster,Unknown,Unknown
Oba Diah,Outer Rim Territories,Kessel sector,Kessel system,Pykes
Obroa-skai,Inner Rim Territories,Unknown,Obroa-skai system,Unknown
Ocahont,Unknown,Unknown,Unknown,Unknown
Odona,Outer Rim Territories,Unknown,Unknown,Unknown
Ogem,Mid Rim Territories,Unknown,Unknown,Unknown
Ojom,Deep Core,Unknown,Unknown,Besalisk
Oktaro,Unknown,Unknown,Unknown,Humans(Oktarians)
Olgothon,Wild Space,Unknown,Unknown,Unknown
Oliu,Unknown,Unknown,Unknown,Unknown
Omereth,Outer Rim Territories,Unknown,Omereth system,Unknown
Onderon,Inner Rim Territories,Japrael sector,Japrael system,Humans(Onderonian)
Onod I,Mid Rim Territories,Unknown,Unknown,Onodone
Ontotho,Unknown,Unknown,Unknown,Unknown
Ool,Unknown Regions,Unknown,Unknown,Unknown
Oon,Outer Rim Territories,Lothal sector,Unknown,Unknown
Oosalon,Outer Rim Territories,Unknown,Unknown,Unknown
Orchis,Inner Rim Territories,Unknown,Unknown,Unknown
Ord Cestus,Outer Rim Territories,Unknown,Unknown,Unknown
Ord Mantell,Mid Rim Territories,Bright Jewel sector,Bright Jewel system,"Falleens,Humans"
Ord Mynock,Unknown,Unknown,Ord Mynock system,Unknown
Ord Pardron,Mid Rim Territories,Unknown,Unknown,Unknown
Ord Tiddell,Mid Rim Territories,Unknown,Unknown,Unknown
Ordo,Unknown,Unknown,Unknown,Unknown
Orish,Outer Rim Territories,Unknown,Unknown,Orishen
Ornfra,Unknown Regions,Chiss Ascendancy's northeast-zenith sector,Ornfra system,Unknown
Orn Kios,Outer Rim Territories,Anoat sector,Unknown,Unknown
Orondia,Unknown,Unknown,Unknown,Unknown
Orra,Unknown,Unknown,Unknown,Unknown
Orto,Outer Rim Territories,Unknown,Unknown,Ortolans
Orto Plutonia,Outer Rim Territories,Sujimis sector,Pantora system,Talz
Oru,Outer Rim Territories,Unknown,Unknown,Humans(Oruan)
Oshira,Mid Rim Territories,Unknown,Unknown,Unknown
Osseriton,Unknown Regions,Unknown,Unknown,Unknown
Ossus,Outer Rim Territories,Auril sector,Adega system,Ysanna
Oulanne,Inner Rim Territories,Unknown,Unknown,Unknown
Ovanis,Outer Rim Territories,Unknown,Unknown,"Ithorians,Trandoshans"
Pabu,Unknown,Unknown,Unknown,Unknown
Pacara,Mid Rim Territories,Unknown,Unknown,Unknown
Pagodon,Outer Rim Territories,Unknown,Unknown,Unknown
Pamarthe,Outer Rim Territories,Unknown,Unknown,Humans
Pam'ba,Mid Rim Territories,Unknown,Unknown,Unknown
Pandem Nai,Outer Rim Territories,Unknown,Pandem Nai system,Unknown
Panisia,Outer Rim Territories,Unknown,Unknown,Unknown
Panna,Outer Rim Territories,Cronese Mandate,Unknown,Unknown
Parau VI,Mid Rim Territories,Unknown,Unknown,B'ankora
Parein II,Unknown,Unknown,Unknown,Unknown
Parnassos,Unknown Regions,Unknown,Unknown,Humans
Parwa,Unknown,Unknown,Unknown,Parwan
Pasaana,Expansion Region,Ombakond sector,Middian system,Aki-Aki
Pasher,Inner Rim Territories,Unknown,Unknown,Humans
Pastoria,Outer Rim Territories,Unknown,Unknown,Pastorians
Patitite Pattuna,Mid Rim Territories,Unknown,Unknown,Patitites
Patrolia,Unknown,Unknown,Unknown,Patrolians
Paucris Major,Unknown,Unknown,Paucris system,Unknown
Pendarr III,Unknown,Unknown,Unknown,Humans
Pergoomi,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Perimako Major,Unknown,Unknown,Unknown,Unknown
Persis IX,Expansion Region,Unknown,Unknown,Grindalids
Petrusia,Expansion Region,Unknown,Unknown,Petrusians
Phateem,Inner Rim Territories,Nouane sector,Unknown,Unknown
Phatrong,Outer Rim Territories,Unknown,Unknown,Kyuzos
Pheryon,Inner Rim Territories,Unknown,Unknown,Unknown
Philaxia,Unknown,Unknown,Unknown,Unknown
Phindar,Outer Rim Territories,Mandalore sector,Phindar system,Phindians
Phorsa Gedd,Mid Rim Territories,Unknown,Unknown,Unknown
Pii,Unknown,Unknown,Pii system,Unknown
Pijal,Inner Rim Territories,Unknown,Pijal system,Humans
Pillio,Core Worlds,Unknown,Jinata system,Unknown
Pion,Wild Space,Unknown,Pion system,Unknown
Pipada,Outer Rim Territories,Unknown,Unknown,Drabatans
Pippip 3,Outer Rim Territories,Unknown,Unknown,Unknown
Pipyyr,Unknown,Unknown,Unknown,Pipyyrian
Pkori,Wild Space,Unknown,Unknown,Pkorian
Planet X,Wild Space,Unknown,Unknown,Unknown
Plazir-15,Outer Rim Territories,Unknown,Unknown,Various
Pleknok,Unknown Regions,Unknown,Pleknok system,Unknown
Plexis,Core Worlds,Unknown,Unknown,Unknown
Plin Minor,Unknown,Unknown,Unknown,Plinovians
Polaar,Unknown,Aubreeyan Cluster,Polaar system,Unknown
Polis Massa,Outer Rim Territories,Subterrel sector,Polis Massa system,"Eellayin,Kallidahins"
Pollillus,Unknown,Unknown,Unknown,Troig
Polmanar,Outer Rim Territories,Anoat sector,Unknown,Unknown
Polyneus,Inner Rim Territories,Unknown,Unknown,Humans(Polynean)
Ponemah Terminal,Outer Rim Territories,Unknown,Unknown,Unknown
Pothor,Mid Rim Territories,Unknown,Unknown,Unknown
Prefsbelt IV,Outer Rim Territories,Unknown,Unknown,Unknown
Pria,Unknown,Unknown,Unknown,Unknown
Primea,Unknown Regions,Unknown,Primea system,Vak
Protobranch,Core Worlds,Unknown,Protobranch system,Bivall
Pujool,Outer Rim Territories,Anoat sector,Anoat system,Unknown
Pyra,Unknown,Unknown,Unknown,Unknown
Pzandias,Mid Rim Territories,Bryx sector,Unknown,Unknown
Qhulosk,Outer Rim Territories,Unknown,Unknown,Qhuloskians
Qualai,Outer Rim Territories,Unknown,Unknown,Unknown
Quarmendy,Mid Rim Territories,Unknown,Unknown,Humans
Quarzite,Inner Rim Territories,Unknown,Quarzite system,"Belugans,Kage"
Quell,Outer Rim Territories,Unknown,Quell system,Unknown
Quermia,Outer Rim Territories,Unknown,Unknown,Quermians
Ques,Hutt Space,Unknown,Unknown,Humans
Quila,Unknown,Unknown,Unknown,Unknown
Quintil,Outer Rim Territories,Unknown,Unknown,Unknown
Raddan,Unknown,Unknown,Unknown,Unknown
Radhii,Unknown,Unknown,Unknown,"Cereans,Humans"
Raithal,Colonies,Unknown,Unknown,Unknown
Rajtiri,Expansion Region,Unknown,Unknown,Unknown
Rakata Prime,Unknown Regions,Unknown,Unknown,Unknown
Ralltiir,Core Worlds,Unknown,Unknown,Humans
Rango Tan,Unknown,Unknown,Unknown,Rangans
Rapacc,Unknown Regions,Unknown,Rapacc system,Paccosh
Rattatak,Outer Rim Territories,Unknown,Unknown,Various
Raxus Prime,Outer Rim Territories,Tion Hegemony,Raxus system,Unknown
Raxus Secundus,Outer Rim Territories,Tion Hegemony,Raxus system,Various
Raydonia,Outer Rim Territories,Unknown,Unknown,Humans
Raysho,Core Worlds,Unknown,Hosnian system,Unknown
Reamma,Outer Rim Territories,Unknown,Unknown,Unknown
Reerez,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Refnu,Outer Rim Territories,Unknown,Refnu system,Nefrians
Rekkana,Unknown,Unknown,Unknown,Rekk
Rendel,Unknown,Unknown,Kiva system,Unknown
Rendili,Core Worlds,Unknown,Unknown,Unknown
Rentor,Unknown Regions,Unknown,Unknown,Unknown
Retta,Wild Space,Unknown,Unknown,Unknown
Rhen Var,Outer Rim Territories,Unknown,Unknown,Unknown
Rhigar,Unknown Regions,Unknown,Rhigal system,Chiss
Rhinnal,Unknown,Unknown,Unknown,Unknown
Ridlay,Unknown,Unknown,Unknown,Unknown
Riflor,Mid Rim Territories,Unknown,Unknown,Advozse
Rina Major,Outer Rim Territories,Unknown,Unknown,Blarina
Ringo Vinda,Mid Rim Territories,Unknown,Unknown,Humans
Rinn,Outer Rim Territories,Unknown,Unknown,Humans
Rion,Outer Rim Territories,Unknown,Unknown,Unknown
Rior,Unknown,Unknown,Unknown,Unknown
Riosa,Inner Rim Territories,Unknown,Unknown,Unknown
Rishi,Outer Rim Territories,Abrion sector,Rishi system,Unknown
Risso,Expansion Region,Unknown,Unknown,Unknown
Rodia,Outer Rim Territories,Savareen sector,Tyrius system,Rodians
Rohm,Unknown,Unknown,Unknown,Unknown
Ronika,Deep Core,Koros sector,Empress Teta system,Unknown
Routh,Unknown,Unknown,Unknown,Unknown
Rumitaka,Outer Rim Territories,Unknown,Five Points system,Unknown
Ruoss Minor,Unknown,Unknown,Unknown,Unknown
Rushan IX,Unknown,Unknown,Unknown,Trawaki
Ruusan,Mid Rim Territories,Teraab sector,Ruusan system,Ruusanian
Rylorii Minor,Western Reaches,Unknown,Unknown,Unknown
Ryloth,Outer Rim Territories,Gaulus sector,Ryloth system,Twi'leks
Rystan,Outer Rim Territories,Unknown,Unknown,Unknown
Safrifa,Outer Rim Territories,Unknown,Unknown,Safrifans
Sakavi Tar,Unknown,Unknown,Unknown,Sakavians
Saki,Outer Rim Territories,Unknown,Unknown,Sakiyans
Saleucami,Outer Rim Territories,Suolriep sector,Saleucami system,"Humans,Twi'leks"
Salient I,Outer Rim Territories,Corporate Sector,Salient system,Various
Salient II,Outer Rim Territories,Corporate Sector,Salient system,Various
Salliche,Core Worlds,Unknown,Unknown,Sallichens
Sammun,Outer Rim Territories,Batonn sector,Unknown,Unknown
Samovar,Western Reaches,Unknown,Unknown,Unknown
Sanjin,Unknown,Unknown,Unknown,Unknown
Sarka,Mid Rim Territories,Unknown,Unknown,Sarkans
Sarrish,Outer Rim Territories,Unknown,Unknown,Unknown
Sarvchi,Unknown Regions,Chiss Ascendancy's southeast sectors,Sarvchi system,Unknown
Sason,Outer Rim Territories,Unknown,Unknown,Unknown
Satotai,Outer Rim Territories,Unknown,Five Points system,Unknown
Savareen,Outer Rim Territories,Savareen sector,Savareen system,Humans(Savarian)
Scarif,Outer Rim Territories,Abrion sector,Scarif system,Humans
Schesa,Unknown Regions,Unknown,Unknown,Unknown
Scipio,Outer Rim Territories,Albarrio sector,Albarrio system,"Humans,Muuns"
Seatos,Unknown,Unknown,Denab system,Unknown
Secundus Ando,Mid Rim Territories,Unknown,Unknown,Harch
Sedri,Outer Rim Territories,Periphery,Sedri system,Unknown
Sedri Minor,Outer Rim Territories,Periphery,Sedri system,Various
Seelos,Outer Rim Territories,Kwymar sector,Seelos system,Humans(clones)
Segra Milo,Unknown,Unknown,Unknown,Unknown
Selonia,Core Worlds,Corellian sector,Corellia system,Selonians
Sembla,Outer Rim Territories,Mahrusha sector,Unknown,Vurk
Serelia,Mid Rim Territories,Unknown,Unknown,Unknown
Serenno,Outer Rim Territories,D'Astan sector,Serenno system,Humans(Serennian)
Sergia,Inner Rim Territories,Unknown,Unknown,Unknown
Serolonis,Unknown,Unknown,Unknown,Unknown
Serralonis,Unknown,Unknown,Unknown,Unknown
Sesid,Outer Rim Territories,Corva sector,Sesid system,Draedans
Setor,Unknown,Unknown,Unknown,Unknown
Sevarcos,Outer Rim Territories,Unknown,Unknown,Unknown
Seylott,Outer Rim Territories,Unknown,Unknown,Unknown
Sha Qarot,Deep Core,Unknown,Sha Qarot system,Unknown
Shadda-Bi-Boran,Outer Rim Territories,Unknown,Unknown,Unknown
Shantipole,Mid Rim Territories,Unknown,Unknown,Mon Calamari
Shihon,Unknown Regions,Unknown,Unknown,Unknown
Shili,Expansion Region,Unknown,Shili system,Togruta
Shownar,Unknown,Unknown,Unknown,Unknown
Shuraden,Outer Rim Territories,Unknown,Unknown,Ximpi
Shu-Torun,Mid Rim Territories,Unknown,Unknown,Humans
Sibensko,Expansion Region,Unknown,Unknown,"Humans,Nikto"
Silla,Unknown,Unknown,Unknown,Unknown
Sirpar,Unknown,Unknown,Unknown,Humans
Sissubo,Core Worlds,Bormea sector,Chandrila system,Unknown
Skako,Core Worlds,Unknown,Unknown,Skakoans
Skako Minor,Unknown,Unknown,Unknown,"Poletecs,Skakoans"
Skaradosh,Inner Rim Territories,Unknown,Unknown,Unknown
Skara Nal,Unknown,Unknown,Kaldar Trinary system,Unknown
Skorii-Lei,Unknown,Unknown,Unknown,Humans
Skuhl,Outer Rim Territories,Unknown,Unknown,Unknown
Skye,Outer Rim Territories,Unknown,Unknown,Unknown
Sleheyron,Hutt Space,Unknown,Unknown,Unknown
Soika,Unknown,Unknown,Unknown,Soikans
Solitair,Unknown Regions,Unknown,Unknown,Garwians
Son-tuul,Outer Rim Territories,Albarrio sector,Unknown,Various
Sorgal 12,Unknown,Unknown,Unknown,Unknown
Sorgan,Outer Rim Territories,Unknown,Unknown,Unknown
Spalex,Outer Rim Territories,Dantus sector,Unknown,Unidentified species
Spintir,Unknown,Unknown,Unknown,Unknown
Spira,Core Worlds,Unknown,Unknown,Unknown
Sposia,Unknown,Unknown,Unknown,Chiss
Sran,Outer Rim Territories,Ash Worlds,Unknown,Unknown
Sriluur,Outer Rim Territories,Unknown,Unknown,Weequays
Sterdic IV,Unknown,Unknown,Unknown,Unidentified species
Stewjon,Unknown,Unknown,Unknown,Unknown
Stivic,Unknown Regions,Unknown,Unknown,Garwians
Stobar,Outer Rim Territories,Unknown,Unknown,Unknown
Strokill Prime,Outer Rim Territories,Unknown,Unknown,Unknown
Sturg Ganna's homeworld,Unknown,Unknown,Unknown,Whippomorn
Stygeon Prime,Outer Rim Territories,Nuiri sector,Stygeon system,Unknown
Suba,Unknown,Unknown,Unknown,Unknown
Subterrel,Outer Rim Territories,Unknown,Unknown,Unknown
Sullust,Outer Rim Territories,Sullust sector,Sullust system,Sullustans
Sump,Outer Rim Territories,Unknown,Unknown,Nuknog
Sunrise,Unknown Regions,Unknown,Sunrise system,The Magys's people
Sy Myrth,Outer Rim Territories,Unknown,Unknown,Unknown
Synjax,Unknown,Unknown,Unknown,Unknown
Taanab,Inner Rim Territories,Unknown,Taanab system,Unknown
Tah'Nuhna,Mid Rim Territories,Unknown,Unknown,Tah'Nuhna
Tais Brabbo,Unknown,Unknown,Unknown,Unknown
Takobo,Outer Rim Territories,Unknown,Unknown,Ithorians
Takodana,Mid Rim Territories,Tashtor sector,Takodana system,Unknown
Taloraan,Unknown,Unknown,Unknown,Unknown
Talus,Core Worlds,Corellian sector,Corellia system,Unknown
Tammuz-an,Outer Rim Territories,Unknown,Unknown,Unknown
Tamsye Prime,Outer Rim Territories,Unknown,Tamsye Prime system,Unknown
Tanalorr,Galactic Frontier,Unknown,Koboh system,Unknown
Tangenine,Core Worlds,Unknown,Unknown,Unknown
Tansyl 5,Mid Rim Territories,Unknown,Unknown,Frigosian
Taris,Outer Rim Territories,Unknown,Taris system,"Humans,Kubaz"
Tarsunt,Mid Rim Territories,Bothan Space,Tarsunt system,Tarsunts
Tatooine,Outer Rim Territories,Arkanis sector,Tatoo system,"Jawas,Tusken Raiders,Various"
Taul,Outer Rim Territories,Unknown,Unknown,Unknown
Taw Provode,Unknown,Unknown,Taw Provode system,Unknown
Tehar,Outer Rim Territories,Unknown,Unknown,Humans
Tei-Untis,Unknown,Unknown,Unknown,Zabraks
Telerath,Inner Rim Territories,Nouane sector,Telerath system,Various
Temako,Outer Rim Territories,Unknown,Unknown,Unknown
Tenoo,Outer Rim Territories,Tenoo's sector,Unknown,Unknown
Tepasi,Core Worlds,Unknown,Unknown,Humans
Teralov,Unknown,Unknown,Unknown,Unknown
Teth,Wild Space,Baxel sector,Teth system,Hutts
Tevel,Outer Rim Territories,Unknown,Unknown,Tevellans
Thabeska,Outer Rim Territories,Unknown,Thabeska system,Unknown
Tharnaka,Unknown,Unknown,Unknown,Tharnakan
Thelj,Unknown,Unknown,Unknown,Unknown
Therezar,Unknown,Unknown,Therezar system,Unknown
Theron,Unknown,Unknown,Theron system,Unknown
Thisspias,Expansion Region,Unknown,Unknown,Thisspiasians
